latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative
53.875,-164.375,2016-01-22,2016-01-30,9,1.2486792415001746,1.1419707496585472,10.277736746926925
53.875,-164.375,2016-02-04,2016-06-19,137,3.012744749070147,1.6791152669666742,230.0387915744344
53.875,-164.375,2016-06-23,2016-12-28,189,4.00530146102868,1.9238868739503563,363.6146191766173
53.875,-164.375,2017-01-04,2017-01-09,6,1.4630658080679346,1.209419375471949,7.256516252831695
53.875,-164.375,2017-06-12,2017-06-16,5,2.192745054245928,1.8208166818208595,9.104083409104298
53.875,-164.375,2017-11-03,2017-11-07,5,0.9594954846774612,0.8723433670759903,4.361716835379951
53.875,-164.375,2017-11-14,2017-11-18,5,1.0642298811225483,1.01327197265998,5.066359863299901
53.875,-164.375,2017-11-23,2017-11-27,5,0.9199803083872862,0.8837380593356725,4.4186902966783626
53.875,-164.125,2016-01-18,2016-01-30,13,1.2039082446988605,1.0797078408438654,14.03620193097025
53.875,-164.125,2016-02-05,2016-06-19,136,3.07395085335244,1.697793866910195,230.8999658997865
53.875,-164.125,2016-06-23,2016-12-29,190,3.841765095318284,1.9525348174997,370.981615324943
53.875,-164.125,2017-01-04,2017-01-09,6,1.4788181750770324,1.191866789325419,7.1512007359525125
53.875,-164.125,2017-06-12,2017-06-16,5,2.216924808242104,1.8369285990229336,9.184642995114668
53.875,-164.125,2017-11-14,2017-11-18,5,0.9486234426731476,0.87438377728094,4.3719188864047
53.875,-163.875,2016-01-18,2016-01-30,13,1.1474368678742728,1.01888764876187,13.245539433904312
53.875,-163.875,2016-02-05,2016-12-29,329,3.883589411760704,1.851528796290609,609.1529739796104
53.875,-163.875,2017-01-04,2017-01-08,5,1.5379673812683308,1.2768416990266922,6.384208495133461
53.875,-163.875,2017-06-12,2017-06-16,5,2.127253926417927,1.7804493489176878,8.902246744588439
53.875,-163.875,2017-08-08,2017-08-17,10,2.9291230589996218,1.8450024843775288,18.450024843775285
53.875,-163.875,2017-10-31,2017-11-06,7,0.9934437906986808,0.8561041682080467,5.992729177456327
53.875,-163.625,2016-01-24,2016-01-30,7,1.1172269527979737,1.0316674438672864,7.221672107071004
53.875,-163.625,2016-02-05,2016-12-29,329,3.9396527865531983,1.8557912578279523,610.5553238253963
53.875,-163.625,2017-01-02,2017-01-08,7,1.525879391229009,1.198092020696404,8.386644144874829
53.875,-163.625,2017-07-23,2017-08-02,11,2.171111778639629,1.671866876509288,18.39053564160217
53.875,-163.625,2017-08-07,2017-08-17,11,3.17826689508537,2.0063083837458824,22.06939222120471
53.875,-163.375,2016-01-25,2016-01-30,6,1.1515729230403426,1.0458563974836663,6.2751383849019975
53.875,-163.375,2016-02-06,2016-08-13,190,3.154638876406912,1.8904565248851783,359.1867397281839
53.875,-163.375,2016-08-18,2017-01-08,144,3.874540835088768,1.7523634691929262,252.34033956378136
53.875,-163.375,2017-07-29,2017-08-17,20,3.0838165455666235,1.87901280698422,37.5802561396844
53.875,-162.625,2016-01-19,2016-01-28,10,1.0588319794057297,0.9277974974631636,9.277974974631636
53.875,-162.625,2016-02-06,2016-08-13,190,3.940348623738144,1.894887585436702,360.02864123297337
53.875,-162.625,2016-08-18,2017-01-14,150,3.4666559064609714,1.7052614962559562,255.78922443839343
53.875,-162.625,2017-07-30,2017-08-17,19,2.168790502678732,1.6826965137930532,31.97123376206801
54.125,-164.625,2016-01-22,2016-01-29,8,1.253488752779024,1.197287573699611,9.578300589596887
54.125,-164.625,2016-02-04,2016-06-19,137,3.0708723240001223,1.6889784404954546,231.39004634787727
54.125,-164.625,2016-06-25,2016-08-13,50,2.756134161851272,1.9456026267996045,97.28013133998024
54.125,-164.625,2016-08-25,2016-11-09,77,4.088235309280144,2.294361978982157,176.66587238162612
54.125,-164.625,2016-11-13,2016-11-18,6,1.5933378421432938,1.2349160314188912,7.409496188513347
