latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative
54.625,-166.125,2017-01-31,2017-02-07,8,1.2521593530273625,0.9832968392810864,7.866374714248691
54.625,-166.125,2017-02-21,2017-02-25,5,0.9707307518868626,0.892241042492327,4.461205212461636
54.625,-166.125,2017-06-01,2017-06-26,26,1.912652426497796,1.423523684840193,37.01161580584503
54.625,-166.125,2017-10-11,2017-10-16,6,0.8458763753680305,0.7808304585242126,4.684982751145276
54.625,-166.125,2018-02-04,2018-02-15,12,1.2177430464841523,1.05338624524406,12.640634942928722
54.625,-166.125,2018-02-21,2018-02-26,6,0.9717344140144156,0.9226168011795548,5.53570080707733
54.625,-166.125,2018-03-15,2018-03-29,15,1.1364127932405892,0.9845985989071095,14.768978983606644
54.625,-166.125,2018-04-18,2018-05-02,15,1.1926569805117295,1.0264965465096785,15.397448197645176
54.625,-166.125,2018-09-06,2018-09-17,12,1.7953675284996289,1.3510447233847351,16.21253668061682
54.625,-166.125,2018-09-23,2018-11-27,66,2.062073343916489,1.305945575009866,86.19240795065114
54.625,-165.875,2017-02-01,2017-02-07,7,1.2545220361310605,1.0194537517395528,7.136176262176869
54.625,-165.875,2017-06-01,2017-06-18,18,1.80131169936291,1.3899379623496877,25.01888332229437
54.625,-165.875,2017-06-22,2017-06-26,5,2.013632763375983,1.6981624402002382,8.49081220100119
54.625,-165.875,2018-02-04,2018-02-15,12,1.1555112262159044,1.026273175030122,12.315278100361464
54.625,-165.875,2018-02-21,2018-02-26,6,1.0393284647345888,0.9690859607645724,5.814515764587435
54.625,-165.875,2018-03-12,2018-03-21,10,1.258772180903109,1.0650304946288798,10.6503049462888
54.625,-165.875,2018-04-18,2018-05-02,15,1.2168720519088223,1.050893471188559,15.763402067828384
54.625,-165.875,2018-09-07,2018-09-17,11,1.6390546599674316,1.1481104841234837,12.629215325358322
54.625,-165.875,2018-09-23,2018-11-27,66,1.9056069684984165,1.3090936157060662,86.40017863660037
54.625,-165.625,2017-02-01,2017-02-07,7,1.2461682098352322,1.046572242474327,7.326005697320286
54.625,-165.625,2017-06-01,2017-06-15,15,1.6380479658104443,1.3072191550903347,19.608287326355025
54.625,-165.625,2017-06-22,2017-06-26,5,1.7833104619765452,1.478562207646151,7.3928110382307555
54.625,-165.625,2018-02-05,2018-02-26,22,1.1661888120927193,1.000989588914231,22.021770956113084
54.625,-165.625,2018-03-12,2018-03-21,10,1.40307317627257,1.1153668204081024,11.153668204081024
54.625,-165.625,2018-04-18,2018-05-02,15,1.2808720575865875,1.1193555358354257,16.790333037531386
54.625,-165.625,2018-06-10,2018-06-14,5,1.648047717855122,1.3863806285886116,6.9319031429430575
54.625,-165.625,2018-09-11,2018-09-17,7,1.4704666029090188,1.0720512481562146,7.5043587370935025
54.625,-165.625,2018-09-23,2018-11-27,66,1.8652202079023432,1.3195328730638398,87.08916962221343
54.625,-165.375,2017-02-01,2017-02-07,7,1.2794429011242363,1.0864086507335915,7.604860555135143
54.625,-165.375,2017-06-02,2017-06-15,14,1.5361522861939363,1.2683638358861933,17.757093702406706
54.625,-165.375,2017-06-22,2017-06-26,5,1.563291153856503,1.3123477381438682,6.5617386907193405
54.625,-165.375,2018-02-08,2018-02-26,19,1.2673977278777464,0.9985709906777416,18.97284882287709
54.625,-165.375,2018-03-12,2018-03-21,10,1.385057628912194,1.152841226797067,11.528412267970667
54.625,-165.375,2018-04-18,2018-05-02,15,1.4168561315169428,1.190931354455235,17.86397031682852
54.625,-165.375,2018-06-08,2018-06-15,8,1.7247124036153163,1.3926778402554558,11.141422722043648
54.625,-165.375,2018-09-19,2018-11-27,70,1.8673022388130096,1.2898066241726869,90.28646369208808
54.625,-165.125,2017-02-02,2017-02-06,5,1.295167310403356,1.159949731430583,5.799748657152915
54.625,-165.125,2017-06-02,2017-06-09,8,1.3174161903086778,1.1745229729051592,9.396183783241272
54.625,-165.125,2017-11-15,2017-11-20,6,1.0875738012942175,0.976586911840678,5.859521471044069
