disaster_id,year
3,1992
3,1993
3,1994
3,1995
6,1992
6,1993
6,1994
6,1995
7,1997
7,1998
7,1999
7,2000
11,1997
11,1998
11,1999
11,2000
18,1997
18,1998
18,1999
18,2000
19,1999
19,2001
36,2008
36,2009
36,2010
43,2008
43,2009
43,2010
50,2008
50,2009
50,2010
53,2008
53,2009
53,2010
38,2007
38,2008
38,2009
47,2007
47,2008
47,2009
63,2013
63,2014
65,2013
65,2014
100,2013
100,2014
100,2019
100,2020
100,2021
66,2015
67,2015
68,2015
69,2015
71,2016
72,2016
73,2015
70,2016
70,2017
74,2016
74,2017
86,2016
86,2017
80,2016
81,2018
85,2018
92,2019
93,2019
95,2015
95,2016
95,2017
95,2019
98,2017
98,2019
104,2019
105,2020
106,2018
106,2020
107,2018
107,2020
123,2018
123,2020
108,2019
109,2020
110,2020
110,2021
110,2022
115,2020
115,2021
115,2022
118,2020
118,2021
118,2022
121,2020
121,2021
121,2022
127,2020
127,2021
127,2022
136,2020
136,2021
136,2022
141,2020
141,2021
141,2022
114,2018
114,2019
114,2020
148,2023
111,2019
111,2020
111,2021
132,2019
132,2020
132,2021
138,2021
138,2022
138,2023
142,2021
142,2022
142,2023
116,2021
116,2022
116,2023
126,2021
126,2022
126,2023
140,2021
140,2022
140,2023
17,2000
17,2001
17,2002
17,2003
17,2004
17,2005
17,2006
17,2007
17,2008
21,2000
21,2001
21,2002
21,2003
21,2004
21,2005
21,2006
21,2007
21,2008
22,2000
22,2001
22,2002
22,2003
22,2004
22,2005
22,2006
22,2007
22,2008
25,2000
25,2001
25,2002
25,2003
25,2004
25,2005
25,2006
25,2007
25,2008
31,2000
31,2001
31,2002
31,2003
31,2004
31,2005
31,2006
31,2007
31,2008
33,2000
33,2001
33,2002
33,2003
33,2004
33,2005
33,2006
33,2007
33,2008
87,2016
87,2017
87,2018
87,2019
120,2016
120,2017
120,2018
120,2019
96,2019
119,2019
99,2019
99,2020
112,2019
112,2020
