disaster_id,shapefile,fishery_start,fishery_end,used_start
1,West_Coast,4/1/1992,9/30/1992,1
2,Alaska,6/1/1997,8/31/1997,1
3,Washington_BC,6/20/1999,10/31/1999,1
4,Washington_BC,6/20/2001,10/31/2001,1
5,West_Coast,4/1/2008,9/30/2008,1
6,Washington_BC,6/20/2007,10/31/2007,1
7,Washington_BC,6/20/2013,10/31/2013,1
8,Washington_BC,6/20/2015,12/31/2015,1
9,California,11/6/2015,6/30/2016,0
10,Washington_BC,6/20/2015,12/31/2015,1
11,Washington,8/15/2015,11/15/2015,1
12,Washington_BC,6/20/2016,12/31/2016,1
13,Alaska,6/15/2016,8/15/2016,1
14,Washington_BC,9/15/2015,11/30/2015,1
15,West_Coast,5/1/2016,9/16/2016,1
16,Washington_BC,6/20/2016,10/31/2016,1
17,Cod,1/1/2018,12/31/2018,1
18,Alaska,6/15/2018,8/15/2018,1
19,Washington_BC,6/20/2019,10/31/2019,1
20,Peconic estuary,9/15/2019,11/15/2019,0
21,Washington_BC,6/20/2015,10/31/2015,1
22,Washington_BC,7/1/2017,11/30/2017,1
23,Washington_BC,6/20/2019,11/30/2019,1
24,Washington_BC,6/20/2020,11/30/2020,1
25,Alaska,6/1/2018,8/15/2018,1
26,Alaska,5/15/2018,9/15/2018,1
27,Tanner_Crab,1/15/2019,3/15/2019,1
28,Cod,1/1/2020,12/31/2020,1
29,Alaska,6/1/2020,8/31/2020,1
30,West_Coast,5/1/2018,9/18/2018,1
31,Washington_BC,5/1/2023,9/23/2023,1
32,Washington_BC,6/20/2019,12/31/2019,1
33,Alaska,6/1/2021,8/15/2021,1
34,RKK_SC,10/15/2021,5/15/2022,1
35,Snow_Crab,10/15/2000,5/31/2001,1
36,California,1/1/2016,12/31/2016,
37,Norton_Sound_RKK,10/15/2019,12/15/2019,1
38,Washington_BC,6/20/2019,12/31/2019,1
