latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative,Unnamed: 8,Unnamed: 9
46.375,-128.625,2014-08-09,2014-11-13,97,2.479223372167599,1.799612003476719,174.56236433724172,,
46.375,-128.625,2014-11-26,2015-01-02,38,2.086813894621164,1.599926125406843,60.79719276546004,,
46.375,-128.625,2015-01-08,2015-01-12,5,1.3212429767633207,1.242134738945882,6.210673695,,
46.375,-128.625,2015-01-20,2015-01-25,6,1.520783970275719,1.3192890762900902,7.915734457740541,,
46.375,-128.625,2015-01-29,2015-05-20,112,2.421938754643936,1.7970691903231852,201.27174931619675,,
46.375,-128.625,2015-06-26,2015-07-29,34,3.1133607702301447,1.9861759743795584,67.52998312890499,,
46.375,-128.625,2015-10-12,2015-12-10,60,2.0966116584502608,1.6743282561923072,100.45969537153844,,
46.375,-128.625,2016-01-16,2016-02-01,17,1.5085261733477378,1.3177737694530929,22.402154080702577,,
46.375,-128.625,2016-02-05,2016-03-12,37,1.790249292847621,1.3611673041687518,50.36319025424382,,
46.375,-128.625,2016-03-16,2016-03-23,8,1.378606629461537,1.191346117704789,9.530768941638312,,
46.375,-128.625,2016-03-29,2016-04-13,16,1.6308654897451582,1.410071329749955,22.56114127599928,,
46.375,-128.625,2016-04-17,2016-04-26,10,2.619138348649715,1.8210444179716512,18.21044417971651,,
46.375,-128.625,2016-06-01,2016-06-09,9,2.5903349673935825,1.8317555839446484,16.485800255501836,,
46.375,-128.625,2016-06-16,2016-06-20,5,1.4920232002499247,1.3789394052814206,6.894697026407103,,
46.375,-128.375,2014-08-12,2014-11-13,94,2.526203544848727,1.8005524587971116,169.2519311269285,,
46.375,-128.375,2014-12-05,2014-12-28,24,2.0369497408281347,1.6695614953933184,40.06947588943965,,
46.375,-128.375,2015-01-20,2015-01-25,6,1.552373115485457,1.2687995506759304,7.612797304055583,,
46.375,-128.375,2015-01-29,2015-05-16,108,2.4715941341546994,1.87227327331718,202.2055135182554,,
46.375,-128.375,2015-06-26,2015-07-28,33,2.938559933,1.8859864168763372,62.23755175691913,,
46.375,-128.375,2015-10-12,2015-12-10,60,2.044596925061793,1.60447113208044,96.26826792,,
46.375,-128.375,2016-01-16,2016-01-30,15,1.3291759108836452,1.207050083901538,18.105751258523068,,
46.375,-128.375,2016-02-05,2016-03-04,29,1.5966436994789923,1.3331728068464008,38.66201139854562,,
46.375,-128.375,2016-03-17,2016-03-22,6,1.259010206,1.1350380962403537,6.810228577442121,,
46.375,-128.375,2016-03-29,2016-04-26,29,2.571688804,1.5801052468342434,45.82305215819306,,
46.375,-128.375,2016-05-01,2016-05-05,5,1.9740201415708647,1.5993319558502184,7.996659779251091,,
46.375,-128.125,2014-06-22,2014-06-26,5,1.4999632892297772,1.4286945085591216,7.1434725427956085,,
46.375,-128.125,2014-08-09,2014-11-13,97,2.4731006775761277,1.748312607189456,169.58632289737724,,
46.375,-128.125,2014-12-05,2014-12-28,24,1.896086202,1.5241694026148525,36.58006566275646,,
46.375,-128.125,2015-01-18,2015-01-25,8,1.6019968969933895,1.2176772462666303,9.741417970133044,,
46.375,-128.125,2015-01-30,2015-05-16,107,2.664883293375244,1.9525025103337887,208.9177686057154,,
46.375,-128.125,2015-06-25,2015-07-19,25,2.804073228636385,1.8671063978971367,46.67765994742842,,
46.375,-128.125,2015-07-23,2015-07-28,6,1.6500964038232055,1.5616947586552816,9.370168552,,
46.375,-128.125,2015-10-14,2015-12-11,59,2.007585080772534,1.5392165640592823,90.81377727949766,,
46.375,-128.125,2016-01-25,2016-01-30,6,1.0986233233014904,1.0596438069234129,6.357862841540477,,
46.375,-128.125,2016-02-07,2016-03-04,27,1.4336175613218618,1.1881344501159803,32.079630153131475,,
46.375,-128.125,2016-03-29,2016-04-26,29,2.397100721156457,1.6753409416539569,48.58488730796475,,
46.375,-128.125,2016-05-01,2016-05-05,5,2.226079031413489,1.819012018470529,9.095060092352645,,
46.375,-127.875,2014-06-21,2014-06-27,7,2.031032985272825,1.7695491323806392,12.386843926664474,,
46.375,-127.875,2014-08-08,2014-11-13,98,2.4824178405048105,1.7001086064710371,166.61064343416166,,
46.375,-127.875,2014-12-05,2014-12-27,23,1.7243248114586542,1.3978613387192809,32.15081079054346,,
46.375,-127.875,2015-01-08,2015-05-16,129,2.767312187709217,1.8661485421078232,240.7331619319092,,
46.375,-127.875,2015-06-25,2015-07-19,25,2.716832769264233,1.818542075795529,45.46355189488823,,
46.375,-127.875,2015-07-24,2015-07-28,5,1.5581177095757752,1.4923352972885362,7.46167648644268,,
46.375,-127.875,2015-08-22,2015-08-26,5,1.693574044162471,1.4640553539171592,7.320276769585796,,
46.375,-127.875,2015-10-14,2015-12-11,59,2.057461947103091,1.5196841824561624,89.66136676491358,,
46.375,-127.875,2016-02-09,2016-02-18,10,1.291412060599356,1.156148037503097,11.56148037503097,,
46.375,-127.875,2016-02-26,2016-03-04,8,1.2593776646068855,1.0894797617917755,8.715838094334206,,
46.375,-127.875,2016-03-29,2016-04-26,29,2.3384648495543843,1.8015869778867528,52.24602235871583,,
46.375,-127.875,2016-05-01,2016-05-05,5,2.357462402,1.9434349021295048,9.717174510647526,,
46.375,-127.875,2016-05-22,2016-05-27,6,1.6031688236730108,1.4851164743990226,8.910698846394135,,
