,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-14.5074,0.0373113,1.92214,1.71654,-18.2078,-14.1388,-12.0804,2834.27,3770.21,3758.98,1.002
alpha,16.137,0.0020162,0.158716,0.153631,15.8767,16.1367,16.3987,6290.72,5023.89,8343.12,1.00155
beta_value,1.36373,0.0021038,0.173008,0.171139,1.07565,1.36579,1.63918,6794.05,5936.17,9010.67,1.00116
beta_peak,0.26368,0.0036471,0.262752,0.255687,-0.167977,0.264548,0.700641,5217.62,4817.22,6919.92,1.00091
beta_duration,-0.0804861,0.00384092,0.272917,0.272872,-0.532518,-0.0791586,0.36311,5083.78,4677.17,6742.42,1.00038
beta_percent,-0.215908,0.00208799,0.17494,0.172284,-0.505474,-0.215521,0.0708385,7043.54,4858.07,9341.56,1.0004
sigma,0.901319,0.00167154,0.123785,0.115843,0.723332,0.888376,1.12184,5780.55,5538.81,7666.52,1.00038
log_lik[1],-1.14113,0.00276938,0.24604,0.227847,-1.5937,-1.10631,-0.805802,8454.05,6780.19,11212.3,1.00016
log_lik[2],-0.989484,0.00381596,0.267972,0.202625,-1.50303,-0.933071,-0.672086,5442.6,5745.43,7218.3,1.00059
log_lik[3],-3.31386,0.0161318,1.29637,1.22472,-5.73228,-3.11326,-1.57176,6120.14,5010.64,8116.89,1.00094
log_lik[4],-1.01259,0.00234553,0.183265,0.176727,-1.33642,-0.995524,-0.748311,6394.07,5725.57,8480.2,0.99991
log_lik[5],-1.21724,0.00730965,0.545943,0.326303,-2.33148,-1.0518,-0.6978,6111.86,5968.46,8105.92,1.00075
log_lik[6],-3.48412,0.0103899,0.853525,0.829618,-5.03319,-3.38368,-2.2777,6489.52,5256.55,8606.79,1.00007
log_lik[7],-0.887152,0.00239974,0.16071,0.150545,-1.17317,-0.874597,-0.645458,4750.02,4635.71,6299.76,1.00026
log_lik[8],-2.66043,0.00739642,0.612382,0.588816,-3.76592,-2.58884,-1.79426,6595.42,5450.33,8747.24,1.00005
log_lik[9],-2.00307,0.00546026,0.47496,0.461882,-2.87578,-1.94442,-1.33435,7282.45,6308.67,9658.42,1.00065
log_lik[10],-0.876782,0.00270087,0.168023,0.156233,-1.16912,-0.8614,-0.632961,4041.64,4529.86,5360.27,1.00099
log_lik[11],-0.996769,0.00340523,0.2672,0.206124,-1.50255,-0.943644,-0.675237,6560.74,6897.85,8701.25,0.999841
log_lik[12],-1.11833,0.00279662,0.224354,0.206632,-1.53494,-1.08872,-0.808348,7082.12,5868.23,9392.74,1.00069
log_lik[13],-0.831358,0.0019868,0.138084,0.134853,-1.06844,-0.825176,-0.614673,4926.75,5044.85,6534.15,1.00029
log_lik[14],-0.986139,0.00258283,0.191947,0.179829,-1.33337,-0.966639,-0.711018,5837.14,5646.17,7741.56,1.00031
log_lik[15],-0.899603,0.00249258,0.170668,0.159606,-1.19973,-0.882122,-0.65083,4952.05,5363.2,6567.71,1.0004
log_lik[16],-1.41185,0.0039322,0.370444,0.346986,-2.1147,-1.35245,-0.91967,9032.38,7271.04,11979.3,1.00005
log_lik[17],-0.971995,0.00395937,0.264625,0.199716,-1.46332,-0.920692,-0.660961,4917.96,5511.95,6522.5,1.0011
log_lik[18],-1.42955,0.00324271,0.275651,0.261227,-1.92663,-1.39927,-1.03654,7295.7,6022.36,9676.0,1.00029
log_lik[19],-1.64295,0.00359331,0.314323,0.302102,-2.21279,-1.60444,-1.20402,7952.1,5633.95,10546.6,1.00079
log_lik[20],-1.13451,0.00282902,0.207129,0.194222,-1.51052,-1.11236,-0.84021,5890.76,4649.81,7812.68,1.00013
