simulation,n_disasters,total_appropriation,mean_appropriation
0,1,20422178.786258776,20422178.786258776
1,6,348383907.10793084,58063984.51798847
2,1,9975273.253938533,9975273.253938533
3,1,1830051.6288820324,1830051.6288820324
4,2,8320997.971943431,4160498.9859717153
5,1,4617073.630740364,4617073.630740364
6,3,9433932.945447827,3144644.3151492756
7,6,141278306.54956186,23546384.424926978
8,1,4663262.783871629,4663262.783871629
9,1,3326127.9335174887,3326127.9335174887
10,1,6744875.373669044,6744875.373669044
11,2,34448919.6154193,17224459.80770965
12,2,108172227.49260196,54086113.74630098
13,1,3693635.718725241,3693635.718725241
14,2,86061922.30821238,43030961.15410619
15,1,6179040.70703178,6179040.70703178
16,6,39579525.06783499,6596587.511305831
17,6,316187582.42590696,52697930.404317826
18,6,87256123.80655351,14542687.301092252
19,1,30385589.871657666,30385589.871657666
20,1,23028429.289155897,23028429.289155897
21,6,231043380.25252178,38507230.04208697
22,2,145241364.3695153,72620682.18475765
23,1,1200158.0419621028,1200158.0419621028
24,6,21283991.01627637,3547331.836046062
25,1,6361599.305244782,6361599.305244782
26,1,3712429.208926381,3712429.208926381
27,6,88546475.62315083,14757745.937191805
28,5,2610170281.104275,522034056.22085506
29,1,1442602.952451782,1442602.952451782
30,1,7100372.019160574,7100372.019160574
31,6,42701843.65287423,7116973.942145705
32,1,28623625.53321061,28623625.53321061
33,5,83720802.32974929,16744160.465949858
34,1,768229691.2772405,768229691.2772405
35,1,13848693.507513419,13848693.507513419
36,1,158594473.59861013,158594473.59861013
37,1,7727325.570410967,7727325.570410967
38,1,17752385.254223228,17752385.254223228
39,1,6671202.125766886,6671202.125766886
40,1,2409587.363774708,2409587.363774708
41,1,7193845.409440459,7193845.409440459
42,1,14989526.904630775,14989526.904630775
43,5,410880988.5679789,82176197.71359578
44,6,213323029.93796095,35553838.322993495
45,6,186600470.2950239,31100078.382503983
46,1,2425185.699906638,2425185.699906638
47,5,190765484.50564846,38153096.90112969
48,1,5423612.022660235,5423612.022660235
49,5,359910700.4917315,71982140.09834631
50,1,49845274.17348643,49845274.17348643
51,1,57484911.57407445,57484911.57407445
52,3,66999029.66056132,22333009.886853773
53,1,579718772.4582245,579718772.4582245
54,1,6280335.18672288,6280335.18672288
55,6,54328723.274676725,9054787.212446121
56,6,116698567.04382633,19449761.173971053
57,1,8904729.682297373,8904729.682297373
58,5,112939286.04105277,22587857.208210554
59,5,98376154.09638959,19675230.81927792
60,6,169651976.0229308,28275329.337155133
61,3,69987715.98661363,23329238.662204545
62,5,106193245.0833666,21238649.01667332
63,5,125880621.53732775,25176124.30746555
64,1,419128.8813738992,419128.8813738992
65,1,13039135.148407305,13039135.148407305
66,1,3318765.237170493,3318765.237170493
67,1,7397264.442753381,7397264.442753381
68,1,43696870.32416355,43696870.32416355
69,5,66892753.67839844,13378550.735679688
70,5,412766608.932832,82553321.7865664
71,1,2898759.2354478254,2898759.2354478254
72,1,1679528.5325335832,1679528.5325335832
73,1,19736234.70434379,19736234.70434379
74,1,25224023.475909032,25224023.475909032
75,1,22792190.001725003,22792190.001725003
76,6,2126723185.0405033,354453864.1734172
77,1,4422775.788008892,4422775.788008892
78,6,95458043.22547624,15909673.870912706
79,1,13787655.650520144,13787655.650520144
80,1,17473711.47124374,17473711.47124374
81,1,83659837.50326453,83659837.50326453
82,1,19885911.93448452,19885911.93448452
83,6,292958413.2590612,48826402.20984354
84,2,39171500.159852274,19585750.079926137
85,5,30262466.76786831,6052493.353573662
86,5,338212161.6006868,67642432.32013735
87,3,58186538.60960041,19395512.869866803
88,6,85961057.3932765,14326842.898879416
89,6,73149468.52649347,12191578.087748913
90,1,3178742.887901766,3178742.887901766
91,1,4798068.114909835,4798068.114909835
92,1,2673122.937084684,2673122.937084684
93,3,76938402.06702547,25646134.02234182
94,1,32646154.767616943,32646154.767616943
95,5,142230407.08319837,28446081.416639674
96,5,875664157.5158402,175132831.50316805
97,1,47813224.22320781,47813224.22320781
