simulation,n_disasters,total_appropriation,mean_appropriation
0,2,38193187.77001935,19096593.885009676
1,4,17564228.05241791,4391057.013104478
2,1,1220041.4433203395,1220041.4433203395
3,10,977415084.4691746,97741508.44691746
4,2,60961784.07966652,30480892.03983326
5,3,133307394.28393991,44435798.09464664
6,1,13591250.035343949,13591250.035343949
7,1,6684386.693348968,6684386.693348968
8,3,50596414.64950268,16865471.549834225
9,2,20308749.263459273,10154374.631729636
10,4,23786168.88889297,5946542.222223243
11,3,84451430.8230862,28150476.941028733
12,3,86015671.65490921,28671890.5516364
13,6,2071894251.1936753,345315708.5322792
14,8,289357018.9393199,36169627.36741499
15,7,69063433.8730062,9866204.839000884
16,1,1448258.078672364,1448258.078672364
17,3,87666759.87630667,29222253.29210222
18,6,124890559.13526824,20815093.189211372
19,4,218235587.2006604,54558896.8001651
20,6,553386930.1002815,92231155.01671357
21,1,22602335.613329764,22602335.613329764
22,4,127511377.52321741,31877844.380804352
23,3,137618089.61682954,45872696.53894318
24,1,9791581.02490154,9791581.02490154
25,1,10949775.66802301,10949775.66802301
26,2,8594981.480023887,4297490.7400119435
27,1,2956405.469546221,2956405.469546221
28,2,533550804.53126466,266775402.26563233
29,1,10607393.327572929,10607393.327572929
30,4,92551659.7734775,23137914.943369374
31,4,36106458.951400705,9026614.737850176
32,1,7320358.203153886,7320358.203153886
33,1,3706090.9357752115,3706090.9357752115
34,3,255580434.88357204,85193478.29452401
35,4,256924494.96368507,64231123.74092127
36,5,396169169.35696226,79233833.87139246
37,1,10219540.637403209,10219540.637403209
38,3,211059722.86821678,70353240.95607226
39,2,45572807.81665618,22786403.90832809
40,2,12841320.017883835,6420660.008941918
41,2,20774144.97077314,10387072.48538657
42,1,62598321.38790667,62598321.38790667
43,4,348036442.65139663,87009110.66284916
44,2,54654557.43723717,27327278.718618587
45,4,31045408.52350446,7761352.130876115
46,3,9250451.217003932,3083483.739001311
47,6,314142959.73183656,52357159.95530609
48,3,50221162.348865926,16740387.449621975
49,1,4564317.492397807,4564317.492397807
50,3,16518102.196845956,5506034.065615319
51,3,260043802.51826486,86681267.50608829
52,3,340297956.49685144,113432652.16561715
53,4,160195851.88929576,40048962.97232394
54,5,1312891786.3768024,262578357.2753605
55,3,10649939.064422632,3549979.688140877
56,5,565986818.9818525,113197363.7963705
57,1,53490542.69185608,53490542.69185608
58,3,17371349.756932635,5790449.918977545
59,3,228883085.1348855,76294361.7116285
60,4,81586832.47561404,20396708.11890351
61,1,7375276.15198323,7375276.15198323
62,1,1683413.8846246547,1683413.8846246547
63,3,273950950.09587455,91316983.36529152
64,3,119758051.91939674,39919350.63979892
65,2,58128813.44387962,29064406.72193981
66,5,133071324.03559935,26614264.80711987
67,3,143631217.61616987,47877072.53872329
68,4,104589502.52283943,26147375.630709857
69,2,26835613.453627072,13417806.726813536
70,3,52190987.86496126,17396995.954987086
