simulation,n_disasters,total_appropriation,mean_appropriation
0,1,4371623.326988092,4371623.326988092
1,1,1734969.098963875,1734969.098963875
2,6,401480904.3102003,66913484.05170005
3,4,589000246.1116847,147250061.52792117
4,1,3421338.218860339,3421338.218860339
5,2,11517768.223299962,5758884.111649981
6,5,206683442.38749573,41336688.47749914
7,2,31585647.127207566,15792823.563603783
8,3,26704192.711526386,8901397.570508795
9,3,25237547.824961383,8412515.941653794
10,1,1322977.3857605394,1322977.3857605394
11,3,27496311.494990766,9165437.164996922
12,2,80275211.59146447,40137605.79573224
13,6,56169960.30260627,9361660.050434379
14,5,291860139.59405583,58372027.918811165
15,4,39120779.09939964,9780194.77484991
16,1,31893167.80889768,31893167.80889768
17,2,19264936.618124958,9632468.309062479
18,1,888041.7476396629,888041.7476396629
19,3,36246201.62893166,12082067.209643885
20,1,1902218.386787251,1902218.386787251
21,4,318986727.2807243,79746681.82018107
22,2,246438286.6822777,123219143.34113885
23,4,509136852.78372467,127284213.19593117
24,4,224821261.90111476,56205315.47527869
25,3,15417861.170254396,5139287.056751465
26,2,2512780017.6248074,1256390008.8124037
27,4,228685138.2831101,57171284.57077753
28,3,108238604.82961415,36079534.943204716
29,4,90631477.79023176,22657869.44755794
30,2,25674331.339118063,12837165.669559032
31,3,85537687.94346468,28512562.64782156
32,4,29770469.3055102,7442617.32637755
33,2,16536104.14411534,8268052.07205767
34,3,65778620.76618583,21926206.922061943
35,5,277211070.3603007,55442214.072060145
36,4,146048550.137617,36512137.53440425
37,4,92914107.25230886,23228526.813077215
38,1,14185706.559045648,14185706.559045648
39,2,5104049.113858564,2552024.556929282
40,4,103504345.70958139,25876086.427395348
41,1,11187876.19063621,11187876.19063621
42,2,50013861.11884369,25006930.559421845
43,4,695359912.4243562,173839978.10608906
44,5,38560188.64342992,7712037.728685984
45,1,24336955.78840956,24336955.78840956
46,1,159708325.58379072,159708325.58379072
47,3,21507549.731586244,7169183.243862081
48,3,414146826.0311739,138048942.0103913
49,1,425739.26578544127,425739.26578544127
50,2,23426868.675616298,11713434.337808149
51,2,13709364.045347359,6854682.0226736795
52,5,322223954.5799928,64444790.915998556
53,3,14676343.898442475,4892114.632814159
54,2,24340687.33204903,12170343.666024515
55,1,21602567.856153626,21602567.856153626
56,2,13586277.421494944,6793138.710747472
57,3,31037800.47710517,10345933.49236839
58,4,141327351.94606215,35331837.98651554
59,5,132765024.49666758,26553004.899333514
60,3,22475580.410214387,7491860.136738129
61,1,29087323.216911856,29087323.216911856
62,2,9095007.644986404,4547503.822493202
63,4,32629865.21177887,8157466.302944718
64,1,9138448.091438761,9138448.091438761
65,3,18842611.5251758,6280870.508391933
66,1,46735532.793196335,46735532.793196335
67,2,14360577.259335797,7180288.629667899
68,1,47373905.09341587,47373905.09341587
69,5,80883116.80121653,16176623.360243306
70,1,24101949.51137562,24101949.51137562
71,3,229593677.45670277,76531225.81890093
72,3,49004093.811134174,16334697.937044725
73,5,25182005.137739815,5036401.027547963
74,4,97869607.2843383,24467401.821084574
75,7,131194034.25958528,18742004.89422647
76,1,124285756.01607594,124285756.01607594
77,1,5328338.7686346695,5328338.7686346695
78,8,334641901.0281286,41830237.62851608
79,4,74020283.41831084,18505070.85457771
80,6,398549546.32867664,66424924.388112776
81,2,28992811.27871424,14496405.63935712
82,1,5184710.710357386,5184710.710357386
83,2,62530036.876797765,31265018.438398883
84,2,134354016.86553812,67177008.43276906
85,6,71163707.13147163,11860617.855245272
86,2,14691892.391851317,7345946.195925659
87,5,655115904.5786068,131023180.91572137
88,1,5093633.106483766,5093633.106483766
89,3,216441386.0267471,72147128.67558236
90,2,52567970.08257304,26283985.04128652
91,2,6297122.0629644515,3148561.0314822257
92,5,215653877.2111016,43130775.442220315
93,2,82131798.08774364,41065899.04387182
94,2,57226641.9637707,28613320.98188535
95,6,422209210.3852827,70368201.73088045
