simulation,n_disasters,total_appropriation,mean_appropriation
0,6,49236164.68326324,8206027.44721054
1,2,47655464.48459743,23827732.242298715
2,3,15612057.997467797,5204019.332489266
3,1,2796958.84446781,2796958.84446781
4,1,1721830.7839564318,1721830.7839564318
5,5,144838811.01693955,28967762.20338791
6,1,33119153.37993162,33119153.37993162
7,1,25545430.899846677,25545430.899846677
8,1,71309737.6316511,71309737.6316511
9,1,3343347.2438812377,3343347.2438812377
10,1,11108681.341412708,11108681.341412708
11,1,24901653.466171548,24901653.466171548
12,1,20205924.17270189,20205924.17270189
13,1,145201721.9849502,145201721.9849502
14,6,102782467.02631062,17130411.17105177
15,1,33209348.14922095,33209348.14922095
16,5,92246070.75938305,18449214.15187661
17,1,2151771.2596225026,2151771.2596225026
18,1,246458.9198703688,246458.9198703688
19,6,386504835.2626522,64417472.54377537
20,5,373771251.2595762,74754250.25191525
21,1,17973096.756151054,17973096.756151054
22,1,3071057.9210921875,3071057.9210921875
23,5,110655048.48902377,22131009.697804756
24,6,178231818.84742546,29705303.141237576
25,2,95188748.77797088,47594374.38898544
26,1,5114785.792750457,5114785.792750457
27,1,29381998.005874302,29381998.005874302
28,1,49594219.428874165,49594219.428874165
29,2,440084864.28390974,220042432.14195487
30,2,67751030.51332106,33875515.25666053
31,6,322047994.18160087,53674665.69693348
32,1,1912796.8568779496,1912796.8568779496
33,5,248329034.66711116,49665806.93342223
34,2,283989240.5096715,141994620.25483575
35,1,38194919.86742068,38194919.86742068
36,1,43890591.700894,43890591.700894
37,5,113968135.74227105,22793627.14845421
38,1,20736647.41906634,20736647.41906634
39,5,75279051.25906846,15055810.251813691
40,1,14838068.978065554,14838068.978065554
41,1,7260687.524940259,7260687.524940259
42,1,76705377.57300936,76705377.57300936
43,1,32342539.967009623,32342539.967009623
44,5,26313005.242929667,5262601.048585934
45,1,1097108.7943757405,1097108.7943757405
46,3,76066978.81792855,25355659.605976183
47,1,70617364.02732661,70617364.02732661
48,1,2978252.9201624836,2978252.9201624836
49,1,94913713.89245148,94913713.89245148
50,1,1459078.3997238276,1459078.3997238276
51,1,73439524.2436884,73439524.2436884
52,1,9335302.564675923,9335302.564675923
53,6,278499150.7836327,46416525.13060545
54,1,137721568.76082528,137721568.76082528
55,1,169608.64424739918,169608.64424739918
56,1,2970014.0858506006,2970014.0858506006
57,3,869907684.4938159,289969228.1646053
58,1,8557852.093213538,8557852.093213538
59,1,278639751.01215416,278639751.01215416
60,5,64297525.028118275,12859505.005623655
61,1,22593804.45295415,22593804.45295415
62,1,318515.30679440993,318515.30679440993
63,1,13617234.775289508,13617234.775289508
64,1,17384810.338926535,17384810.338926535
65,5,174100741.10099873,34820148.22019975
66,1,7479037.41562283,7479037.41562283
67,1,3599297.044857942,3599297.044857942
68,1,13737326.561582476,13737326.561582476
69,1,11789505.150270525,11789505.150270525
70,3,48159226.97705572,16053075.659018574
71,5,59744898.8796232,11948979.77592464
72,1,1049663.2536704587,1049663.2536704587
73,3,100316525.90771262,33438841.96923754
74,2,35866023.7848014,17933011.8924007
75,1,23382088.223305527,23382088.223305527
76,6,65135345.995080456,10855890.999180077
77,1,9585654.799951876,9585654.799951876
78,2,272562789.43089426,136281394.71544713
79,6,1631758319.1182473,271959719.85304123
80,1,7115198.243657131,7115198.243657131
81,2,23461159.418529764,11730579.709264882
82,5,25523702.8581631,5104740.57163262
83,1,6265509.29598513,6265509.29598513
84,1,2580850.5299454904,2580850.5299454904
85,1,862015.4276028555,862015.4276028555
86,3,43537014.32227376,14512338.107424587
87,3,109936841.79817238,36645613.932724126
88,1,3957669.453871793,3957669.453871793
89,3,97723880.90085474,32574626.96695158
90,1,6189474.639293308,6189474.639293308
91,1,7162192.823451927,7162192.823451927
92,1,72783266.69498208,72783266.69498208
93,2,20867912.598909996,10433956.299454998
94,1,23450778.54073695,23450778.54073695
95,5,239713789.94385347,47942757.98877069
96,5,84042737.37475953,16808547.474951904
97,1,398533345.5439373,398533345.5439373
98,1,121300296.09832753,121300296.09832753
99,3,48694341.91090088,16231447.303633628
100,1,7543950.804272043,7543950.804272043
101,1,6971967.419812293,6971967.419812293
102,3,62155359.826976635,20718453.27565888
103,1,30513567.43819512,30513567.43819512
104,6,108634969.05146909,18105828.17524485
105,1,2553845.6480075745,2553845.6480075745
106,2,5755930.463399673,2877965.2316998364
107,1,938592.384307255,938592.384307255
108,1,845296.1491898849,845296.1491898849
109,1,9678171.842940142,9678171.842940142
110,1,23215171.33213885,23215171.33213885
111,1,713387.943687039,713387.943687039
112,6,109763347.57422638,18293891.262371063
113,1,12322947.348892545,12322947.348892545
114,6,24005538.969261296,4000923.1615435495
115,1,10828974.328637347,10828974.328637347
116,2,21159561.373295665,10579780.686647832
117,1,7382931.326762764,7382931.326762764
118,5,1429039442.0666072,285807888.41332144
119,3,96664394.95964985,32221464.986549947
120,1,3427873.156353019,3427873.156353019
121,1,1764172.1494725645,1764172.1494725645
122,1,16947206.172307484,16947206.172307484
123,6,280006291.4012033,46667715.23353388
124,1,1530923.6769384916,1530923.6769384916
125,5,64002442.45903527,12800488.491807055
126,6,83753512.31573895,13958918.719289824
127,1,2110954.2601606096,2110954.2601606096
128,2,14207290.259720221,7103645.129860111
129,1,102756361.95808569,102756361.95808569
130,1,8081061.36305495,8081061.36305495
131,1,51913751.1391142,51913751.1391142
132,2,6198082.713834361,3099041.3569171806
133,1,155972.99590114583,155972.99590114583
134,5,177486064.87274984,35497212.974549964
135,3,48081053.36884622,16027017.789615408
136,6,206548297.25687844,34424716.20947974
137,1,18317705.49775452,18317705.49775452
138,6,105411373.1468555,17568562.191142585
139,5,56131215.16988192,11226243.033976384
140,1,74744143.20045684,74744143.20045684
141,6,57903615.18727824,9650602.53121304
142,6,143935915.2707281,23989319.211788017
143,1,8518290.84934898,8518290.84934898
144,5,720248137.7043638,144049627.54087275
145,1,3967124.757673063,3967124.757673063
146,1,9903549.292142492,9903549.292142492
147,1,5039399.042904294,5039399.042904294
148,3,42520997.64305407,14173665.881018022
149,1,3021979.7957069143,3021979.7957069143
150,1,4904436.544346818,4904436.544346818
151,6,197059145.61113366,32843190.935188945
152,5,257953007.43721443,51590601.48744289
153,1,689170.1729978041,689170.1729978041
154,1,3028176.873970026,3028176.873970026
155,5,83536317.39658962,16707263.479317924
156,5,125098828.43491755,25019765.68698351
157,1,5611125.488351642,5611125.488351642
158,1,3391471.964182478,3391471.964182478
159,1,18251969.706270304,18251969.706270304
160,1,31956107.81149868,31956107.81149868
161,5,1062203108.6717348,212440621.73434696
162,5,236637929.84320962,47327585.96864192
163,1,1645204.0123781615,1645204.0123781615
164,1,11996678.379242055,11996678.379242055
165,2,574125851.8753474,287062925.9376737
166,1,9561103.802482016,9561103.802482016
167,3,45911341.355867654,15303780.451955885
168,1,1134656.4332260708,1134656.4332260708
169,1,5228704.895129917,5228704.895129917
170,1,1797548.8185776912,1797548.8185776912
171,1,18499392.94625095,18499392.94625095
172,1,1290543.3064711997,1290543.3064711997
173,5,120357974.74980363,24071594.949960727
174,3,48645293.400397055,16215097.800132351
175,6,212186399.93091786,35364399.98848631
176,1,4611066.052671219,4611066.052671219
177,1,4015120.5270293113,4015120.5270293113
178,6,302796154.77712655,50466025.79618776
179,5,46657420.01273439,9331484.002546879
180,3,447577396.2378586,149192465.41261953
181,5,46486265.019700244,9297253.00394005
182,1,6353237.880237812,6353237.880237812
183,3,78552306.72016346,26184102.24005449
184,5,57815166.75234908,11563033.350469816
185,5,156069322.28921986,31213864.45784397
186,1,20747248.027065553,20747248.027065553
187,2,12086459.403500738,6043229.701750369
188,5,106415434.10023884,21283086.82004777
189,1,430903.2467221798,430903.2467221798
190,1,20301081.164876208,20301081.164876208
191,2,12401496.873483865,6200748.436741932
192,1,240740760.2414976,240740760.2414976
193,2,30206100.28407631,15103050.142038155
194,5,304690429.97153616,60938085.994307235
195,1,366705.342629138,366705.342629138
196,3,35922557.06124884,11974185.687082946
197,5,197814698.06726745,39562939.61345349
198,3,27166112.181374,9055370.727124667
199,3,24149511.814373523,8049837.271457841
200,1,92829073.60051255,92829073.60051255
201,1,411237.47080055333,411237.47080055333
202,5,212260949.98400107,42452189.996800214
203,1,61928142.97234169,61928142.97234169
204,6,277816158.0689469,46302693.01149115
205,1,2395227.4989827853,2395227.4989827853
206,1,12323674.519999772,12323674.519999772
207,6,101373909.85395154,16895651.642325256
208,1,1204307.4287555902,1204307.4287555902
209,5,98165966.54396102,19633193.308792204
210,1,10673414.023581894,10673414.023581894
211,1,11564366.902663507,11564366.902663507
212,1,90901.23017743525,90901.23017743525
213,1,7235316.032499522,7235316.032499522
214,2,6592106.594961956,3296053.297480978
215,1,1708168.1681049431,1708168.1681049431
216,1,15983833.914110368,15983833.914110368
217,6,61912163.123570755,10318693.85392846
218,1,13531942.806709046,13531942.806709046
219,1,6575894.4668857865,6575894.4668857865
220,5,190759555.92227915,38151911.18445583
221,3,20741530.48426146,6913843.49475382
222,1,22076207.373608172,22076207.373608172
223,1,11910661.580144748,11910661.580144748
224,3,21313172.01812233,7104390.672707443
225,6,62208332.116772845,10368055.352795474
226,1,9075224.600763094,9075224.600763094
227,1,13690140.938568722,13690140.938568722
228,1,1792138.467270448,1792138.467270448
229,1,3018527.7175828484,3018527.7175828484
230,5,64233487.27741863,12846697.455483725
231,1,56081272.38990163,56081272.38990163
232,1,41845347.42990607,41845347.42990607
233,3,144954048.47045124,48318016.15681708
234,1,10598084.24721129,10598084.24721129
235,2,5416944.766357797,2708472.3831788986
236,6,103790255.80317721,17298375.9671962
237,1,235061489.4433818,235061489.4433818
238,1,34658272.168548144,34658272.168548144
239,6,66080444.41285251,11013407.402142085
240,1,8429415.155150864,8429415.155150864
241,3,110816683.06812687,36938894.35604229
242,1,6798952.313071751,6798952.313071751
243,1,3909625.755671114,3909625.755671114
244,6,77707388.49331474,12951231.415552458
245,5,188684284.01775718,37736856.803551435
246,1,3124607.294862252,3124607.294862252
247,1,7469477.759168458,7469477.759168458
248,1,15303896.746534133,15303896.746534133
249,1,127625080.35421902,127625080.35421902
250,2,127934623.72090687,63967311.860453434
251,1,1769826.3206688093,1769826.3206688093
252,1,24352512.912791826,24352512.912791826
253,5,60698870.30554058,12139774.061108116
254,1,15666655.4902948,15666655.4902948
255,1,55391135.58534664,55391135.58534664
256,1,7927134.370987103,7927134.370987103
257,1,149272777.05590448,149272777.05590448
258,5,305369644.3702035,61073928.8740407
259,6,117116313.75510806,19519385.625851344
260,5,70301097.4766033,14060219.49532066
261,5,92652062.6243387,18530412.52486774
262,5,205612221.37210387,41122444.274420775
263,1,16381760.314138819,16381760.314138819
264,1,889926.9682611075,889926.9682611075
265,1,13575203.835192552,13575203.835192552
266,5,498326855.2051017,99665371.04102035
267,3,47907856.54295597,15969285.514318658
268,6,27729255.21494072,4621542.535823453
269,2,3711273.3914083503,1855636.6957041752
270,1,4245740.2110151425,4245740.2110151425
271,1,14830608.316977194,14830608.316977194
272,1,3205451.3783592354,3205451.3783592354
273,1,614709.9038362507,614709.9038362507
274,1,6467402.0381055195,6467402.0381055195
275,1,696201.670138652,696201.670138652
276,1,58198097.4779596,58198097.4779596
277,5,164612457.18345952,32922491.436691903
278,1,6609924.924790476,6609924.924790476
279,1,1785661.077478427,1785661.077478427
280,5,71781356.9638757,14356271.392775139
281,5,67680528.92026307,13536105.784052614
282,3,45772641.51853278,15257547.17284426
283,5,120505764.74405342,24101152.948810685
284,1,42048566.75382335,42048566.75382335
285,6,603479511.2971795,100579918.54952991
286,2,42277897.696084805,21138948.848042402
287,5,121583015.01489793,24316603.002979584
288,2,96584545.27708733,48292272.638543665
289,1,7861756.068233064,7861756.068233064
290,1,26619888.746909425,26619888.746909425
291,1,1631128.1275933415,1631128.1275933415
292,1,57910980.56616282,57910980.56616282
293,1,5147646.163994592,5147646.163994592
294,1,41503641.341746986,41503641.341746986
295,6,643304645.2153275,107217440.86922126
296,5,693145523.2061682,138629104.64123362
297,5,35347670.968859166,7069534.193771834
298,1,1753633.8596684684,1753633.8596684684
299,5,129697242.78921603,25939448.557843205
300,1,1082396.104557698,1082396.104557698
301,6,400533746.01468956,66755624.3357816
302,1,5738914.266630659,5738914.266630659
303,3,109896587.05885568,36632195.68628523
304,1,35146951.30575554,35146951.30575554
305,1,11448771.807840072,11448771.807840072
306,1,63475114.5325158,63475114.5325158
307,1,6904008.295024226,6904008.295024226
308,3,90953069.21044643,30317689.73681548
309,1,5429643.053764404,5429643.053764404
310,1,627453.0348220775,627453.0348220775
311,6,73799272.98874122,12299878.83145687
312,5,116149891.94686683,23229978.389373366
313,1,36501085.110248104,36501085.110248104
314,1,17467866.509977184,17467866.509977184
315,1,1008429.2605463337,1008429.2605463337
316,1,96466413.07917026,96466413.07917026
317,1,6291817.529612262,6291817.529612262
318,1,4778003.187077394,4778003.187077394
319,1,1158532.5386392453,1158532.5386392453
320,6,102609548.53659499,17101591.422765832
321,1,11681712.437414939,11681712.437414939
322,2,6756927.50199975,3378463.750999875
323,6,105317116.53835005,17552852.756391674
324,2,47633082.85463393,23816541.427316964
325,1,16882639.425148163,16882639.425148163
326,5,123140545.27763924,24628109.055527847
327,5,224827114.56200266,44965422.91240053
328,1,4459300.178811486,4459300.178811486
329,1,142661924.36998433,142661924.36998433
330,6,379406562.61833894,63234427.10305649
331,1,26430281.632456284,26430281.632456284
332,3,23207163.716794908,7735721.238931636
333,1,35365201.688905485,35365201.688905485
334,5,77641228.09354392,15528245.618708784
335,1,59677596.018553555,59677596.018553555
336,1,52373229.626067206,52373229.626067206
337,5,376119649.5441326,75223929.90882652
338,1,1682901.6332674692,1682901.6332674692
339,2,13939521.535200477,6969760.767600238
340,1,60048340.63833377,60048340.63833377
341,3,13333280.447885163,4444426.815961721
342,1,94028127.81386411,94028127.81386411
343,1,5358172.326677978,5358172.326677978
344,6,52535838.96370444,8755973.160617406
345,1,52681189.09704748,52681189.09704748
346,1,43150887.811452866,43150887.811452866
347,2,602134.6505114002,301067.3252557001
348,1,55696639.22025639,55696639.22025639
349,5,146099489.46930066,29219897.89386013
350,1,14197072.19891069,14197072.19891069
351,5,160183307.97878498,32036661.595756996
352,1,3111789.1852679746,3111789.1852679746
353,1,108852472.63785107,108852472.63785107
354,1,11781036.095222382,11781036.095222382
355,1,33874799.077300765,33874799.077300765
356,5,510676626.67305434,102135325.33461086
357,5,144941630.32186025,28988326.06437205
358,1,27466234.616794195,27466234.616794195
359,1,1736543.6001161658,1736543.6001161658
