simulation,n_disasters,total_appropriation,mean_appropriation
0,1,1111471.002888009,1111471.002888009
1,1,40214429.21631192,40214429.21631192
2,1,929489.1435488394,929489.1435488394
3,1,6256844.443372448,6256844.443372448
4,1,34080607.53835376,34080607.53835376
5,6,147274323.14926347,24545720.524877246
6,5,194434524.15228653,38886904.83045731
7,5,208713939.3450855,41742787.8690171
8,6,35873470.17886998,5978911.69647833
9,5,60885214.29364508,12177042.858729016
10,1,564508.2866924754,564508.2866924754
11,1,11738418.786813887,11738418.786813887
12,1,312997.67539463035,312997.67539463035
13,3,104844537.12767583,34948179.04255861
14,3,108078733.5120682,36026244.50402273
15,1,939542.7541426249,939542.7541426249
16,1,237903182.4588972,237903182.4588972
17,1,44242702.435216285,44242702.435216285
18,1,20463681.871082805,20463681.871082805
19,1,4826147.012626324,4826147.012626324
20,1,35516301.49493136,35516301.49493136
21,1,9913132.590782437,9913132.590782437
22,1,25557712.429615706,25557712.429615706
23,5,46979848.98467186,9395969.796934372
24,3,57746199.89551176,19248733.29850392
25,6,76448848.25645402,12741474.709409004
26,1,28755931.160374615,28755931.160374615
27,3,24240269.205129392,8080089.735043131
28,1,4089299.441130521,4089299.441130521
29,1,2718465.1542614866,2718465.1542614866
30,1,4189252.3876101747,4189252.3876101747
31,1,1531152.339655206,1531152.339655206
32,1,56348550.43518565,56348550.43518565
33,1,161558793.50136182,161558793.50136182
34,1,5668307.36284603,5668307.36284603
35,1,210534394.58926162,210534394.58926162
36,6,50007218.04146459,8334536.340244099
37,1,49608815.85336975,49608815.85336975
38,1,28936578.97962349,28936578.97962349
39,1,9013312.569001615,9013312.569001615
40,2,17332652.91989469,8666326.459947346
41,1,47625763.37238774,47625763.37238774
42,1,66840958.87190587,66840958.87190587
43,5,42651796.58157097,8530359.316314194
44,1,1370339.3859496203,1370339.3859496203
45,1,14661749.194159737,14661749.194159737
46,1,3587699.7964855884,3587699.7964855884
47,1,11014771.84445624,11014771.84445624
48,1,18721562.082720116,18721562.082720116
49,1,34888920.15708785,34888920.15708785
50,1,88504.55111655933,88504.55111655933
51,1,3360581.7951612873,3360581.7951612873
52,1,1973888.614468093,1973888.614468093
53,1,1921562.6734911052,1921562.6734911052
54,6,46923417.05915907,7820569.509859845
55,1,41697167.09545676,41697167.09545676
56,1,122080422.10205767,122080422.10205767
57,1,2392450.1928213197,2392450.1928213197
58,5,231637781.8279385,46327556.3655877
59,1,98527111.34132971,98527111.34132971
60,1,12991004.621319966,12991004.621319966
61,1,185028170.58215776,185028170.58215776
62,1,11818816.723555386,11818816.723555386
63,1,24877185.19759103,24877185.19759103
64,1,51722161.06452754,51722161.06452754
65,3,25554737.529005356,8518245.843001785
66,1,3466952.366623914,3466952.366623914
67,6,86489682.96901478,14414947.161502464
68,5,54456576.50308123,10891315.300616246
69,6,60826379.75488695,10137729.959147824
70,2,9663327.052631812,4831663.526315906
71,1,10728221.235879414,10728221.235879414
72,5,341634070.93659294,68326814.1873186
73,1,2818597.345066007,2818597.345066007
74,3,23110835.344623104,7703611.781541035
75,1,1440920.0455429526,1440920.0455429526
76,1,16262622.287572253,16262622.287572253
77,1,2390969.2911432204,2390969.2911432204
78,1,6736764.793203321,6736764.793203321
79,1,194499.27712302856,194499.27712302856
80,6,30141812.04170766,5023635.34028461
81,1,13301338.559840528,13301338.559840528
82,1,1057773.6000323056,1057773.6000323056
