latitude,longitude,n_events,total_mhw_days,mean_duration,max_duration,mean_intensity_max,max_intensity,total_cumulative_intensity,mean_rate_onset,mean_rate_decline
47.875,-179.875,,,,,,,,,
47.875,-179.625,,,,,,,,,
47.875,-179.375,,,,,,,,,
47.875,-179.125,,,,,,,,,
47.875,-178.875,,,,,,,,,
47.875,-178.625,,,,,,,,,
47.875,-178.375,,,,,,,,,
47.875,-178.125,,,,,,,,,
47.875,-177.875,,,,,,,,,
47.875,-177.625,,,,,,,,,
47.875,-177.375,,,,,,,,,
47.875,-177.125,,,,,,,,,
47.875,-176.875,,,,,,,,,
47.875,-176.625,,,,,,,,,
47.875,-176.375,,,,,,,,,
47.875,-176.125,,,,,,,,,
47.875,-175.875,,,,,,,,,
47.875,-175.625,,,,,,,,,
47.875,-175.375,,,,,,,,,
47.875,-175.125,,,,,,,,,
47.875,-174.875,,,,,,,,,
47.875,-174.625,,,,,,,,,
47.875,-174.375,,,,,,,,,
47.875,-174.125,,,,,,,,,
47.875,-173.875,,,,,,,,,
47.875,-173.625,,,,,,,,,
47.875,-173.375,,,,,,,,,
47.875,-173.125,,,,,,,,,
47.875,-172.875,,,,,,,,,
47.875,-172.625,,,,,,,,,
47.875,-172.375,,,,,,,,,
47.875,-172.125,,,,,,,,,
47.875,-171.875,,,,,,,,,
47.875,-171.625,,,,,,,,,
47.875,-171.375,,,,,,,,,
47.875,-171.125,,,,,,,,,
47.875,-170.875,,,,,,,,,
47.875,-170.625,,,,,,,,,
47.875,-170.375,,,,,,,,,
47.875,-170.125,,,,,,,,,
47.875,-169.875,,,,,,,,,
47.875,-169.625,,,,,,,,,
47.875,-169.375,,,,,,,,,
47.875,-169.125,,,,,,,,,
47.875,-168.875,,,,,,,,,
47.875,-168.625,,,,,,,,,
47.875,-168.375,,,,,,,,,
47.875,-168.125,,,,,,,,,
47.875,-167.875,,,,,,,,,
47.875,-167.625,,,,,,,,,
47.875,-167.375,,,,,,,,,
47.875,-167.125,,,,,,,,,
47.875,-166.875,,,,,,,,,
47.875,-166.625,,,,,,,,,
47.875,-166.375,,,,,,,,,
47.875,-166.125,,,,,,,,,
47.875,-165.875,,,,,,,,,
47.875,-165.625,,,,,,,,,
47.875,-165.375,,,,,,,,,
47.875,-165.125,,,,,,,,,
47.875,-164.875,,,,,,,,,
47.875,-164.625,,,,,,,,,
47.875,-164.375,,,,,,,,,
47.875,-164.125,,,,,,,,,
47.875,-163.875,,,,,,,,,
47.875,-163.625,,,,,,,,,
47.875,-163.375,,,,,,,,,
47.875,-163.125,,,,,,,,,
47.875,-162.875,,,,,,,,,
47.875,-162.625,,,,,,,,,
47.875,-162.375,,,,,,,,,
47.875,-162.125,,,,,,,,,
47.875,-161.875,,,,,,,,,
47.875,-161.625,,,,,,,,,
47.875,-161.375,,,,,,,,,
47.875,-161.125,,,,,,,,,
47.875,-160.875,,,,,,,,,
47.875,-160.625,,,,,,,,,
47.875,-160.375,,,,,,,,,
47.875,-160.125,,,,,,,,,
47.875,-159.875,,,,,,,,,
47.875,-159.625,,,,,,,,,
47.875,-159.375,,,,,,,,,
47.875,-159.125,,,,,,,,,
47.875,-158.875,,,,,,,,,
47.875,-158.625,,,,,,,,,
47.875,-158.375,,,,,,,,,
47.875,-158.125,,,,,,,,,
47.875,-157.875,,,,,,,,,
47.875,-157.625,,,,,,,,,
47.875,-157.375,,,,,,,,,
47.875,-157.125,,,,,,,,,
47.875,-156.875,,,,,,,,,
47.875,-156.625,,,,,,,,,
47.875,-156.375,,,,,,,,,
